days since the first confirmed death,Italy,Spain,France ,UK,US,Iran,Germany,South Korea,Switzerland,Netherlands
0,1,1,1,1,1,2,2,1,1,1
1,2,2,1,2,1,2,2,2,1,1
2,3,3,1,2,6,4,3,2,1,3
3,7,8,1,3,9,6,6,6,2,4
4,11,10,1,5,11,8,8,8,2,4
5,12,17,1,6,12,12,9,11,3,5
6,17,30,1,8,15,16,13,12,4,5
7,21,36,1,10,19,19,17,13,7,10
8,29,55,1,11,22,26,26,16,11,12
9,41,86,1,21,26,34,28,17,13,20
10,52,133,1,34,30,43,44,21,14,24
11,79,196,2,55,38,54,68,28,19,43
12,107,294,2,71,41,66,84,32,27,58
13,148,342,2,104,49,77,,35,33,76
14,197,533,2,144,57,92,,42,43,106
15,233,638,3,177,68,108,,43,56,136
16,366,831,4,233,86,124,,48,80,
17,463,1093,4,,109,145,,50,,
18,631,1381,7,,150,194,,53,,
19,827,,9,,207,237,,60,,
20,1016,,16,,256,291,,60,,
21,1266,,19,,302,354,,66,,
22,1809,,30,,,429,,67,,
23,2158,,33,,,514,,72,,
24,2503,,48,,,611,,75,,
25,2978,,61,,,724,,75,,
26,3405,,79,,,853,,81,,
27,4032,,91,,,988,,84,,
28,4825,,127,,,1135,,91,,
29,,,148,,,1284,,94,,
30,,,175,,,1433,,102,,
31,,,264,,,1556,,,,
32,,,372,,,,,,,
33,,,450,,,,,,,
34,,,562,,,,,,,
